accuracy_train accuracy_val num_layers learning_rate epochs batch_size params
0.565 0.525 15 0.0019 10 64 0.435995,0.000926,0.549662,0.466472,0.419564,0.381151;0.179094,0.596211,0.299655,0.317364,0.581180,0.580735;0.088712,0.510345,0.184440,0.839879,0.811852,0.499159;0.815112,0.108608,0.505246,0.069019,0.431161,0.055823;0.095839,0.619828,0.226012,0.078344,0.239504,0.306905;0.441378,0.204486,0.640407,0.446213,0.552293,0.348926;0.763717,0.586786,0.162299,0.684739,0.976684,0.524724;0.878164,0.293993,0.567144,0.455057,0.415130,0.801939;0.516885,0.902058,0.544208,0.053325,0.373993,0.802143;0.420920,0.041488,0.247177,0.017903,1.043157,0.966697;0.816180,0.657757,0.764960,0.165244,0.284537,0.526873;0.328543,0.094884,0.983153,0.444869,0.479498,0.346210;0.237931,0.382724,0.832017,0.778641,0.374252,0.018851;0.751895,0.215216,0.582685,0.038469,0.665991,0.386855;0.441395,0.359643,0.350872,0.551763,0.979602,0.112776
0.56 0.5525 14 0.0034 10 64 0.435995,0.075561,0.549662,0.513517,0.444534,0.311982;0.110474,0.630428,0.299655,0.271286,0.642867,0.519555;0.141430,0.433990,0.184440,0.779907,0.892998,0.516217;0.871814,0.083646,0.505246,0.086409,0.460980,0.108626;0.152558,0.609970,0.226012,0.107124,0.254458,0.347876;0.485912,0.269963,0.640407,0.481304,0.554422,0.394280;0.803504,0.512221,0.162299,0.744799,0.972533,0.556278;0.941965,0.285381,0.567144,0.473495,0.453955,0.809700;0.556329,1.005029,0.544208,0.069499,0.430564,0.860095;0.387349,0.110484,0.247177,0.076864,0.965265,1.008427;0.832530,0.681598,0.764960,0.221848,0.236134,0.596271;0.377586,0.048188,0.983153,0.514637,0.520184,0.328149;0.268158,0.344495,0.832017,0.747852,0.419917,0.000633;0.782979,0.218232,0.582685,0.013359,0.698614,0.387523
0.535 0.5225 13 0.0032 10 16 0.435995,0.008975,0.549662,0.440814,0.589236,0.220976;0.087633,0.586985,0.299655,0.170694,0.751138,0.431414;0.118354,0.372551,0.184440,0.690166,1.012104,0.655235;0.879664,0.002878,0.505246,0.223934,0.322270,0.256177;0.147239,0.580232,0.226012,0.243720,0.105790,0.473760;0.442991,0.396869,0.640407,0.606972,0.396586,0.520314;0.642732,0.679507,0.162299,0.853270,1.031787,0.519848;0.983247,0.349419,0.567144,0.467239,0.481038,0.799286;0.638804,1.035928,0.544208,0.101759,0.405093,0.842946;0.414355,0.117243,0.247177,0.060939,1.097374,0.971200;0.788383,0.479593,0.764960,0.205725,0.303245,0.572467;0.383902,-0.041317,0.983153,0.490417,0.468210,0.399377;0.307052,0.400979,0.832017,0.770793,0.373900,0.013017
0.515 0.515 14 0.0097 10 32 0.435995,0.019942,0.549662,0.332692,0.399242,0.387989;0.170543,0.657388,0.299655,0.297893,0.547690,0.573297;0.150012,0.619548,0.184440,0.820752,0.763041,0.498600;0.870616,0.126060,0.505246,0.075448,0.472269,0.013211;0.114450,0.621236,0.226012,0.047577,0.299189,0.219231;0.415367,0.187530,0.640407,0.360134,0.656720,0.276338;0.713567,0.495283,0.162299,0.590496,0.885628,0.491729;1.028444,0.336845,0.567144,0.393914,0.454717,0.672784;0.566995,0.967184,0.544208,-0.037309,0.514299,0.834062;0.332425,0.099467,0.247177,0.051318,0.914734,1.071737;0.916525,0.863748,0.764960,0.289138,0.136547,0.681945;0.408661,0.155647,0.983153,0.622309,0.569296,0.265998;0.242704,0.353063,0.832017,0.733721,0.511805,-0.080478;0.693644,0.057763,0.582685,-0.075067,0.787299,0.387523
0.56 0.515 6 0.0069 10 32 0.435995,0.163777,0.549662,0.462858,0.634059,0.182372;-0.081354,0.720939,0.299655,0.127387,0.898707,0.429652;0.010556,0.432302,0.184440,0.710437,0.953912,0.689580;0.904911,0.041135,0.505246,0.250787,0.178586,0.351055;0.192832,0.706276,0.226012,0.282577,-0.036303,0.558725;0.505455,0.498713,0.640407,0.642098,0.349655,0.386893
0.525 0.505 15 0.007 10 32 0.435995,-0.041258,0.549662,0.495289,0.431772,0.475334;0.122803,0.574891,0.299655,0.414052,0.506814,0.656022;-0.016185,0.538411,0.184440,0.901476,0.738465,0.519028;0.765667,0.063016,0.505246,0.091139,0.407046,0.018933;0.041295,0.572655,0.226012,0.062902,0.243230,0.245098;0.353945,0.165052,0.640407,0.400391,0.630065,0.246967;0.681224,0.595268,0.162299,0.635633,1.012925,0.490230;0.860178,0.300844,0.567144,0.428728,0.397424,0.750548;0.511478,0.778346,0.544208,-0.006627,0.403414,0.675753;0.466294,0.014778,0.247177,-0.109178,1.137727,0.976864;0.842097,0.653885,0.764960,0.175265,0.253643,0.549197;0.207969,0.157019,0.983153,0.467744,0.426445,0.419749;0.167164,0.401097,0.832017,0.865990,0.379603,0.020127;0.610347,0.113652,0.582685,0.051725,0.686797,0.367663;0.241759,0.221038,0.350872,0.533601,1.002479,0.112776
0.54 0.5225 11 0.0299 10 64 0.435995,0.168986,0.549662,0.260293,0.600887,0.251530;0.184187,0.744494,0.299655,0.165210,0.734357,0.453160;0.055142,0.677023,0.184440,0.686593,0.938528,0.656858;0.860222,0.072772,0.505246,0.220976,0.380495,0.242467;-0.028872,0.507873,0.226012,0.173384,0.204710,0.405284;0.210808,-0.056892,0.640407,0.512638,0.836386,0.408048;0.679543,0.585869,0.162299,0.541335,0.756210,0.580755;0.979490,0.675727,0.567144,0.447952,0.335135,0.715899;0.523412,1.275445,0.544208,0.317905,0.730326,1.041628;0.423555,-0.247592,0.247177,0.240657,1.093165,1.024140;0.841270,0.319600,0.764960,0.132863,0.389502,0.524067
0.565 0.59 10 0.0161 10 32 0.435995,0.111792,0.549662,0.757970,0.510764,0.320840;0.160088,0.473711,0.299655,0.291051,0.739230,0.509484;0.088045,0.287756,0.184440,0.741433,1.076205,0.536778;0.858528,0.231136,0.505246,0.103204,0.623041,0.123781;0.028266,0.833502,0.226012,0.012735,0.387126,0.282090;0.448029,0.296355,0.640407,0.408344,0.648849,0.440139;0.697433,0.572812,0.162299,0.766779,0.733386,0.757451;0.934636,0.538486,0.567144,0.662125,0.254550,0.922703;0.518231,1.158272,0.544208,0.258055,0.514420,0.847298;0.401637,0.021630,0.247177,0.066133,1.126470,0.970580
0.595 0.605 10 0.0472 10 64 0.435995,-0.087549,0.549662,0.756023,0.442786,0.394803;-0.098343,0.394750,0.299655,0.273386,0.665603,0.558256;-0.134006,0.449832,0.184440,0.772018,0.810721,0.485146;0.947493,0.478323,0.505246,0.105956,0.604993,0.026821;0.073363,0.716853,0.226012,-0.077216,0.405773,0.176470;0.398389,0.229659,0.640407,0.312417,0.742147,0.293293;0.581227,0.414063,0.162299,0.606779,0.853763,0.782839;0.898347,0.317502,0.567144,0.687924,0.209990,1.011203;0.438055,1.145480,0.544208,0.303559,0.560344,1.078781;0.357283,-0.211278,0.247177,0.302775,1.094162,0.970580
0.595 0.52 9 0.0274 10 64 0.435995,-0.006055,0.549662,0.741814,0.637805,0.313136;-0.190935,0.851049,0.299655,0.244705,0.738772,0.598356;-0.313554,0.766084,0.184440,0.901851,0.596733,0.776476;0.888055,0.042565,0.505246,0.278603,0.304523,0.255542;0.241314,0.604306,0.226012,0.208182,0.109803,0.433139;0.413760,0.523471,0.640407,0.544817,0.637561,0.252639;0.402411,0.748725,0.162299,0.869284,1.048715,0.629915;0.871688,0.168551,0.567144,0.550666,0.420340,1.020382;0.509190,0.899076,0.544208,0.153828,0.402610,0.850851
